FBgn_ID,Gene_name,FBgn_alias,CG_ID,CG_alias,tau,Age_classification
FBgn0035570,CG13712,,CG13712,,0.909,Pan-drosophilid
FBgn0035571,CG12493,,CG12493,,0.738,mel-complex
FBgn0035572,CG13711,,CG13711,,0.917,Pan-drosophilid
FBgn0035574,RhoGEF64C,"FBgn0035573,FBgn0052239,FBgn0062671",CG32239,"CG13710,CG13709",0.665,Bilateria
FBgn0035575,CG7509,,CG7509,,0.828,Bilateria
FBgn0035577,CG13708,,CG13708,,0.759,Eukaryota
FBgn0035578,CG13707,,CG13707,,0.785,Pan-drosophilid
FBgn0035581,CG17150,,CG17150,,0.927,Pan-drosophilid
FBgn0035582,CG13705,,CG13705,,0.923,Pan-drosophilid
FBgn0035583,CG13704,FBgn0063680,CG13704,,0.724,Diptera
FBgn0035584,CG17030,,CG17030,,0.883,Pan-drosophilid
FBgn0035585,ATPsynCF6L,,CG12027,,0.859,Pan-drosophilid
FBgn0035586,CG10671,,CG10671,,0.416,Eukaryota
FBgn0035587,Gdap1,,CG4623,,0.713,Eukaryota
FBgn0035588,CG10672,,CG10672,,0.366,Cellular_Organisms
FBgn0035589,CHMP2B,,CG4618,,0.387,Diptera
FBgn0035590,Prpk,,CG10673,,0.358,Cellular_Organisms
FBgn0035591,CG4611,,CG4611,,0.412,Eukaryota
FBgn0035592,CG10674,,CG10674,,0.229,Eukaryota
FBgn0035593,CG4603,,CG4603,,0.539,Eukaryota
FBgn0035594,CG4597,,CG4597,,0.921,Pan-drosophilid
FBgn0035598,CG4669,FBgn0044681,CG4669,,0.799,Pan-drosophilid
FBgn0035600,Cyt-c1,FBgn0027754,CG4769,,0.352,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035601,Uev1A,,CG10640,,0.212,Eukaryota
FBgn0035603,CG10635,FBgn0062885,CG10635,,0.274,Eukaryota
FBgn0035604,Ir64a,,CG10633,,0.966,Bilateria
FBgn0035607,CG4835,,CG4835,,0.849,Pan-drosophilid
FBgn0035608,blanks,,CG10630,,0.69,mel-subgroup
FBgn0035610,Lkr,"FBgn0044363,FBgn0046609,FBgn0046610",CG10626,,0.836,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0035611,CG13285,,CG13285,,0.732,Pan-drosophilid
FBgn0035612,CG10625,FBgn0062155,CG10625,,0.817,Pan-drosophilid
FBgn0035617,l(3)psg2,FBgn0025986,CG5146,,0.397,Pan-drosophilid
FBgn0035619,CG10592,,CG10592,,0.839,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035620,CG5150,,CG5150,,0.829,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035621,CG10591,,CG10591,,0.939,Pan-drosophilid
FBgn0035622,TM9SF3,,CG10590,,0.357,Eukaryota
FBgn0035623,mthl2,"FBgn0046544,FBgn0046545",CG17795,,0.71,mel-subgroup
FBgn0035624,Eaf6,,CG12756,,0.495,Eukaryota
FBgn0035625,Blimp-1,,CG5249,,0.625,Bilateria
FBgn0035626,lin-28,FBgn0063073,CG17334,,0.77,Cellular_Organisms
FBgn0035627,Sse,FBgn0002461,CG10583,,0.544,Eukaryota
FBgn0035630,CG10576,FBgn0046317,CG10576,,0.239,Eukaryota
FBgn0035631,Txl,FBgn0062146,CG5495,,0.272,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035632,Ppat-Dpck,,CG10575,,0.317,Cellular_Organisms
FBgn0035636,Cralbp,,CG10546,,0.722,Diptera
FBgn0035638,Tektin-C,,CG10541,,0.899,Diptera
FBgn0035639,kri,FBgn0025533,CG5537,,0.332,Eukaryota
FBgn0035640,mad2,,CG17498,,0.38,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035641,CG5568,,CG5568,,0.736,mel-group
FBgn0035642,CG18586,,CG18586,,0.786,mel-subgroup
FBgn0035643,CG13287,,CG13287,,0.748,Bilateria
FBgn0035644,DNApol-epsilon58,,CG10489,,0.515,Eukaryota
FBgn0035645,CG5592,,CG5592,,0.947,Pan-drosophilid
FBgn0035647,CG10486,,CG10486,,0.932,Pan-drosophilid
FBgn0035648,CG13288,,CG13288,,0.839,Diptera
FBgn0035649,CG10483,,CG10483,,0.698,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035656,CG10479,,CG10479,,0.67,Pan-drosophilid
FBgn0035657,alphaKap4,FBgn0035658,CG10478,CG11040,0.883,mel-subgroup
FBgn0035661,CG10477,FBgn0044638,CG10477,,0.883,mel-subgroup
FBgn0035663,CG6462,,CG6462,,0.936,Pan-drosophilid
FBgn0035665,Jon65Aiii,"FBgn0001286,FBgn0025329,FBgn0044570",CG6483,CG6484,0.749,Pan-drosophilid
FBgn0035666,Jon65Aii,FBgn0001286,CG6580,,0.86,Pan-drosophilid
FBgn0035667,Jon65Ai,FBgn0001286,CG10475,,0.79,Pan-drosophilid
FBgn0035669,CG6592,,CG6592,,0.876,Pan-drosophilid
FBgn0035670,CG10472,FBgn0044783,CG10472,,0.755,Diptera
FBgn0035673,CG6602,,CG6602,,0.791,Pan-drosophilid
FBgn0035674,CG13295,,CG13295,,0.475,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0035675,CG6610,FBgn0062991,CG6610,,0.328,Cellular_Organisms
FBgn0035676,ssp6,,CG6619,,0.768,Bilateria
FBgn0035677,CG13293,,CG13293,,0.764,Eukaryota
FBgn0035678,CG10469,,CG10469,,0.605,Pan-drosophilid
FBgn0035679,CG10467,,CG10467,,0.504,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035685,CG13297,FBgn0062982,CG13297,,0.927,Pan-drosophilid
FBgn0035686,Cpr65Az,,CG12330,,0.948,Diptera
FBgn0035687,CG13296,,CG13296,,0.87,Bilateria
FBgn0035688,CG10289,,CG10289,,0.159,Eukaryota
FBgn0035689,CG7376,,CG7376,,0.584,Eukaryota
FBgn0035690,CG10274,,CG10274,,0.618,Diptera
FBgn0035691,CG7386,,CG7386,,0.696,Diptera
FBgn0035692,CG13298,,CG13298,,0.264,Eukaryota
FBgn0035693,CG8219,,CG8219,,0.85,mel-subgroup
FBgn0035694,CG13299,,CG13299,,0.857,Pan-drosophilid
FBgn0035695,CG10226,,CG10226,,0.796,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035696,Best2,,CG10173,,0.683,Bilateria
FBgn0035697,CG10163,,CG10163,,0.874,Pan-drosophilid
FBgn0035699,CG13300,,CG13300,,0.711,Pan-drosophilid
FBgn0035702,CG10147,,CG10147,,0.39,Diptera
FBgn0035703,CG8270,,CG8270,,0.316,Eukaryota
FBgn0035704,CG10144,FBgn0062066,CG10144,,0.424,Eukaryota
FBgn0035707,CG8368,,CG8368,,0.577,Eukaryota
FBgn0035708,CG8398,FBgn0027687,CG8398,,0.629,Diptera
FBgn0035709,eIF4E-4,"FBgn0045411,FBgn0046310",CG10124,,0.865,Eukaryota
FBgn0035710,SP1173,,CG10121,,0.472,Pan-drosophilid
FBgn0035711,CG8519,,CG8519,,0.683,Diptera
FBgn0035713,velo,,CG10107,,0.465,Eukaryota
FBgn0035714,CG8549,,CG8549,,0.399,Cellular_Organisms
FBgn0035715,CG10103,,CG10103,,0.324,Eukaryota
FBgn0035718,CG14820,,CG14820,,0.859,Bilateria
FBgn0035719,tow,,CG14821,,0.684,Pan-drosophilid
FBgn0035720,CG10077,"FBgn0047244,FBgn0063174",CG10077,,0.33,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035721,CG9948,,CG9948,,0.44,Pan-drosophilid
FBgn0035722,CG10075,,CG10075,,0.464,Cellular_Organisms
FBgn0035724,CG10064,,CG10064,,0.877,Eukaryota
FBgn0035725,Mis12,FBgn0063053,CG18156,,0.459,mel-subgroup
FBgn0035726,CG9953,,CG9953,,0.236,Eukaryota
FBgn0035727,CG10063,FBgn0063698,CG10063,,0.697,Pan-drosophilid
FBgn0035730,CG17744,,CG17744,,0.838,Pan-drosophilid
FBgn0035733,CG8641,,CG8641,,0.768,Bilateria
FBgn0035734,CG14823,,CG14823,,0.731,Pan-drosophilid
FBgn0035735,Cpr65Ea,,CG8640,,0.922,Pan-drosophilid
FBgn0035736,Cpr65Eb,FBgn0063039,CG8638,,0.944,Diptera
FBgn0035737,Cpr65Ec,,CG8634,,0.906,Diptera
FBgn0035741,BBS1,,CG14825,,0.872,Eukaryota
FBgn0035742,CG8629,FBgn0047118,CG8629,,0.853,Bilateria
FBgn0035743,CG15829,,CG15829,,0.827,Pan-drosophilid
FBgn0035750,CG14826,,CG14826,,0.94,Pan-drosophilid
FBgn0035751,CG14829,,CG14829,,0.832,Pan-drosophilid
FBgn0035753,RpL18,,CG8615,,0.186,Eukaryota
FBgn0035754,MED4,,CG8609,,0.439,Bilateria
FBgn0035755,CG14830,,CG14830,,0.578,Diptera
FBgn0035756,unc-13-4A,"FBgn0035757,FBgn0035758,FBgn0035759,FBgn0052381",CG32381,"CG14833,CG8608,CG14832,CG14831",0.814,Bilateria
FBgn0035760,CG8607,,CG8607,,0.5,Cellular_Organisms
FBgn0035761,RhoGEF4,,CG8606,,0.607,Eukaryota
FBgn0035762,Rint1,,CG8605,,0.396,Eukaryota
FBgn0035763,CG8602,"FBgn0062051,FBgn0062076",CG8602,,0.335,Diptera
FBgn0035766,eco,,CG8598,,0.363,Eukaryota
FBgn0035767,CG8596,,CG8596,,0.457,Eukaryota
FBgn0035768,CG14834,,CG14834,,0.815,Pan-drosophilid
FBgn0035769,CTCF,,CG8591,,0.352,Bilateria
FBgn0035770,pst,,CG8588,,0.339,Bilateria
FBgn0035771,Sec63,FBgn0062086,CG8583,,0.399,Eukaryota
FBgn0035772,Sh3beta,,CG8582,,0.326,Bilateria
FBgn0035776,CG8564,,CG8564,,0.838,Diptera
FBgn0035777,CG8563,,CG8563,,0.894,Eukaryota
FBgn0035779,CG8562,,CG8562,,0.828,Bilateria
FBgn0035780,CG18417,,CG18417,,0.812,Bilateria
FBgn0035781,CG8560,,CG8560,,0.763,Bilateria
FBgn0035782,CG14835,,CG14835,,0.862,mel-group
FBgn0035785,ppk26,,CG8546,,0.871,Diptera
FBgn0035786,Tsp66A,,CG16991,CG1699,0.947,Pan-drosophilid
FBgn0035787,CG8543,,CG8543,,0.976,Diptera
FBgn0035788,CG8541,,CG8541,,0.969,Diptera
FBgn0035789,mthl6,"FBgn0046603,FBgn0046604",CG16992,,0.929,mel-subgroup
FBgn0035790,Cyp316a1,,CG8540,,0.871,Pan-drosophilid
FBgn0035791,CG8539,,CG8539,,0.729,Pan-drosophilid
FBgn0035792,CG7548,,CG7548,,0.935,Diptera
FBgn0035793,CG7546,FBgn0025951,CG7546,,0.418,Eukaryota
FBgn0035795,CG16998,,CG16998,,0.719,Bilateria
FBgn0035797,CG14837,,CG14837,,0.89,Pan-drosophilid
FBgn0035798,frac,,CG7526,,0.789,Eukaryota
FBgn0035799,CG14838,,CG14838,,0.908,Diptera
FBgn0035800,CG7716,,CG7716,,0.885,Pan-drosophilid
FBgn0035802,Pura,"FBgn0035801,FBgn0035803,FBgn0035804,FBgn0053167,FBgn0053275",CG33275,"CG7515,CG33167,CG7520,CG7511,CG7513",0.519,Bilateria
FBgn0035805,CG7506,,CG7506,,0.311,Eukaryota
FBgn0035806,PGRP-SD,,CG7496,,0.605,Cellular_Organisms
FBgn0035807,CG7492,FBgn0025279,CG7492,,0.425,Eukaryota
FBgn0035811,CG12262,,CG12262,,0.34,Cellular_Organisms
FBgn0035812,CG7457,,CG7457,,0.322,Bilateria
FBgn0035813,CG8492,,CG8492,,0.867,Bilateria
FBgn0035816,CG13685,,CG13685,,0.829,Pan-drosophilid
FBgn0035817,CG7409,,CG7409,,0.776,Bilateria
FBgn0035823,eIF4E-5,,CG8277,,0.827,Diptera
FBgn0035824,CG8281,,CG8281,,0.417,Pan-drosophilid
FBgn0035825,CG8111,,CG8111,,0.362,Eukaryota
FBgn0035827,Srp9,,CG8268,,0.303,Eukaryota
FBgn0035829,HP4,FBgn0062494,CG8044,,0.317,Pan-drosophilid
FBgn0035830,CG8209,FBgn0046458,CG8209,,0.366,Eukaryota
FBgn0035831,CG8038,"FBgn0046393,FBgn0063138",CG8038,,0.316,Eukaryota
FBgn0035833,CG7565,,CG7565,,0.35,Bilateria
FBgn0035838,ldbr,,CG7942,,0.48,Eukaryota
FBgn0035839,CG7550,,CG7550,,0.579,Eukaryota
FBgn0035842,CG7504,,CG7504,,0.459,Cellular_Organisms
FBgn0035844,CG13676,,CG13676,,0.629,Pan-drosophilid
FBgn0035845,CG13675,,CG13675,,0.866,Diptera
FBgn0035847,mthl7,"FBgn0046502,FBgn0046503",CG7476,,0.91,mel-subgroup
FBgn0035848,CG7979,,CG7979,,0.373,Cellular_Organisms
FBgn0035849,ERR,,CG7404,,0.377,Bilateria
FBgn0035850,Atg18a,,CG7986,,0.275,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035851,MED24,,CG7999,,0.336,Bilateria
FBgn0035852,CG7387,FBgn0044555,CG7387,,0.82,Diptera
FBgn0035853,UbcE2M,FBgn0062104,CG7375,,0.356,Eukaryota
FBgn0035854,CG8005,,CG8005,,0.391,Cellular_Organisms
FBgn0035855,CG7366,FBgn0044691,CG7366,,0.878,Pan-drosophilid
FBgn0035856,CG13679,FBgn0047158,CG13679,,0.881,Pan-drosophilid
FBgn0035857,CG8006,,CG8006,,0.902,mel-group
FBgn0035858,CG13674,,CG13674,,0.921,Pan-drosophilid
FBgn0035859,CG13678,FBgn0047144,CG13678,,0.888,Pan-drosophilid
FBgn0035861,CG7213,,CG7213,,0.808,Pan-drosophilid
FBgn0035865,CG7201,,CG7201,,0.896,Diptera
FBgn0035866,Arl5,,CG7197,,0.336,Eukaryota
FBgn0035867,CG13671,,CG13671,,0.369,Bilateria
FBgn0035868,CG7194,"FBgn0025703,FBgn0041577",CG7194,,0.675,Pan-drosophilid
FBgn0035870,Gr66a,,CG7189,,0.697,Diptera
FBgn0035871,BI-1,,CG7188,,0.386,Cellular_Organisms
FBgn0035872,CG7185,,CG7185,,0.287,Bilateria
FBgn0035873,CG13670,,CG13670,,0.908,Diptera
FBgn0035875,Cpr66Cb,,CG7076,,0.87,Diptera
FBgn0035876,Pex2,,CG7081,,0.303,Eukaryota
FBgn0035877,CG7083,,CG7083,,0.376,Eukaryota
FBgn0035878,CG7182,,CG7182,,0.462,Pan-drosophilid
FBgn0035879,GAPcenA,,CG7112,,0.28,Bilateria
FBgn0035880,CG17352,,CG17352,,0.761,Diptera
FBgn0035886,Jon66Ci,FBgn0001287,CG7118,,0.854,Pan-drosophilid
FBgn0035887,Jon66Cii,FBgn0001287,CG7170,,0.885,Pan-drosophilid
FBgn0035888,CG7120,FBgn0063332,CG7120,,0.527,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0035889,mkg-p,,CG7163,,0.741,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035890,CG13667,,CG13667,,0.587,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035896,CG6983,,CG6983,,0.378,Bilateria
FBgn0035900,ZC3H3,,CG6694,,0.377,Bilateria
FBgn0035901,CG6745,,CG6745,,0.452,Cellular_Organisms
FBgn0035902,CG6683,,CG6683,,0.434,Pan-drosophilid
FBgn0035903,CG6765,,CG6765,,0.664,Pan-drosophilid
FBgn0035904,GstO3,,CG6776,,0.445,Diptera
FBgn0035906,GstO2,FBgn0027692,CG6673,,0.274,Cellular_Organisms
FBgn0035907,GstO1,,CG6662,,0.608,Eukaryota
FBgn0035909,ergic53,"FBgn0020254,FBgn0035910,FBgn0011010",CG6822,,0.265,Eukaryota
FBgn0035911,CG6638,,CG6638,,0.409,Cellular_Organisms
FBgn0035914,CG6282,,CG6282,,0.819,Cellular_Organisms
FBgn0035915,S-Lap1,FBgn0044537,CG6372,,0.835,mel-group
FBgn0035916,GAPsec,FBgn0046265,CG5978,,0.473,Eukaryota
FBgn0035917,Zasp66,FBgn0045924,CG6416,,0.626,Diptera
FBgn0035918,Cdc6,,CG5971,,0.534,Cellular_Organisms
FBgn0035921,CG13305,FBgn0063034,CG13305,,0.876,Pan-drosophilid
FBgn0035922,Pex7,,CG6486,,0.851,Eukaryota
FBgn0035923,CG6511,,CG6511,,0.504,Bilateria
FBgn0035924,CG6576,,CG6576,,0.902,Pan-drosophilid
FBgn0035926,CG5804,FBgn0047183,CG5804,,0.759,Pan-drosophilid
FBgn0035928,CG13310,,CG13310,,0.915,Diptera
FBgn0035929,CG13311,FBgn0047130,CG13311,,0.85,Pan-drosophilid
FBgn0035931,CG13312,,CG13312,,0.937,Pan-drosophilid
FBgn0035932,CG13308,,CG13308,,0.939,Pan-drosophilid
FBgn0035933,CG13309,,CG13309,,0.91,Pan-drosophilid
FBgn0035934,TrpA1,,CG5751,CG5761,0.883,Bilateria
FBgn0035936,Tsp66E,,CG4999,,0.499,Bilateria
FBgn0035941,CG13313,,CG13313,,0.897,Diptera
FBgn0035942,CG5660,,CG5660,,0.677,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0035943,CG5653,,CG5653,,0.885,Diptera
FBgn0035944,CG5021,,CG5021,,0.38,Eukaryota
FBgn0035945,CG5026,,CG5026,,0.296,Bilateria
FBgn0035947,Srp68,,CG5064,,0.259,Eukaryota
FBgn0035948,CG5644,FBgn0027770,CG5644,,0.725,Diptera
FBgn0035949,CG13314,,CG13314,,0.651,Pan-drosophilid
FBgn0035951,CG5068,,CG5068,,0.369,Eukaryota
FBgn0035952,CG5280,,CG5280,,0.788,Bilateria
FBgn0035953,CG5087,,CG5087,,0.302,Eukaryota
FBgn0035954,Doc3,,CG5093,,0.867,Bilateria
FBgn0035955,CG5194,FBgn0044631,CG5194,,0.774,Pan-drosophilid
FBgn0035956,Doc2,,CG5187,,0.869,Diptera
FBgn0035957,CG5144,,CG5144,,0.778,Bilateria
FBgn0035959,CG4911,,CG4911,,0.463,Bilateria
FBgn0035960,CG4942,,CG4942,,0.474,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0035964,Dhpr,,CG4665,,0.436,Eukaryota
FBgn0035965,Use1,,CG14181,,0.349,Bilateria
FBgn0035968,Slc45-1,,CG4484,,0.502,Eukaryota
FBgn0035969,CG4476,FBgn0045952,CG4476,,0.821,Bilateria
FBgn0035970,CG4483,,CG4483,,0.913,mel-group
FBgn0035971,CG4477,,CG4477,,0.901,mel-subgroup
FBgn0035975,PGRP-LA,"FBgn0035974,FBgn0042200,FBgn0052042",CG32042,"CG4384,CG4361,CG18614",0.579,Diptera
FBgn0035976,PGRP-LC,FBgn0046840,CG4432,,0.54,Pan-drosophilid
FBgn0035977,PGRP-LF,"FBgn0061861,FBgn0063601",CG4437,,0.564,Diptera
FBgn0035978,UGP,,CG4347,,0.351,Cellular_Organisms
FBgn0035980,CG4447,,CG4447,,0.348,Cellular_Organisms
FBgn0035981,CG4452,FBgn0046475,CG4452,,0.39,Bilateria
FBgn0035982,CG4461,FBgn0043822,CG4461,,0.787,Pan-drosophilid
FBgn0035983,CG4080,,CG4080,,0.41,Eukaryota
FBgn0035985,Cpr67B,,CG3672,,0.695,Diptera
FBgn0035986,CG4022,,CG4022,,0.412,Pan-drosophilid
FBgn0035987,CG3689,,CG3689,,0.25,Eukaryota
FBgn0035988,CG3982,,CG3982,,0.813,Pan-drosophilid
FBgn0035989,CG3967,,CG3967,,0.535,Eukaryota
FBgn0035993,Nf-YA,,CG3891,,0.446,Eukaryota
FBgn0035995,CG3529,,CG3529,,0.407,Eukaryota
FBgn0035996,CG3448,,CG3448,,0.353,Pan-drosophilid
FBgn0035997,phol,,CG3445,,0.408,Pan-drosophilid
FBgn0035998,CG3437,,CG3437,,0.337,Eukaryota
FBgn0035999,CG3552,,CG3552,,0.663,Bilateria
FBgn0036000,CG3434,,CG3434,,0.343,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0036004,Jarid2,,CG3654,,0.375,Bilateria
FBgn0036005,pall,,CG3428,,0.324,Bilateria
FBgn0036007,path,"FBgn0062062,FBgn0062128",CG3424,,0.4,Eukaryota
FBgn0036008,CG3408,,CG3408,,0.538,Bilateria
FBgn0036009,Or67a,,CG12526,,0.887,Diptera
FBgn0036010,Ir67a,,CG12525,,0.977,Pan-drosophilid
FBgn0036014,CG3222,FBgn0045268,CG3222,,0.856,Diptera
FBgn0036015,CG3088,,CG3088,,0.866,Pan-drosophilid
FBgn0036016,CG3306,,CG3306,,0.864,mel-group
FBgn0036018,CG3335,,CG3335,,0.372,Eukaryota
FBgn0036019,Or67b,,CG14176,,0.916,Diptera
FBgn0036020,CG8336,,CG8336,,0.52,Eukaryota
FBgn0036022,CG8329,,CG8329,,0.806,Pan-drosophilid
FBgn0036023,CG18179,FBgn0043787,CG18179,,0.839,Pan-drosophilid
FBgn0036024,CG18180,,CG18180,,0.753,Pan-drosophilid
FBgn0036028,CG16717,,CG16717,,0.361,Eukaryota
FBgn0036029,CG16719,,CG16719,,0.753,mel-group
FBgn0036030,CG6767,,CG6767,,0.409,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0036031,CG6761,,CG6761,,0.899,Diptera
FBgn0036032,CG16711,,CG16711,,0.595,Pan-drosophilid
FBgn0036035,CG18178,,CG18178,,0.421,Pan-drosophilid
FBgn0036036,CG14174,,CG14174,,0.54,Bilateria
FBgn0036038,defl,,CG18176,,0.352,Bilateria
FBgn0036039,Naa60,,CG18177,,0.292,Eukaryota
FBgn0036040,CG6749,,CG6749,,0.681,Pan-drosophilid
FBgn0036043,CG8177,"FBgn0027707,FBgn0064871",CG8177,,0.38,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0036044,Zasp67,,CG14168,,0.873,Pan-drosophilid
FBgn0036046,Ilp2,FBgn0044432,CG8167,,0.847,Diptera
FBgn0036052,CG10809,,CG10809,,0.543,Bilateria
FBgn0036053,iPLA2-VIA,,CG6718,,0.367,Bilateria
FBgn0036056,CG6709,,CG6709,,0.989,Pan-drosophilid
FBgn0036057,CG14164,,CG14164,,0.898,Pan-drosophilid
FBgn0036058,CG6707,,CG6707,,0.231,Bilateria
FBgn0036059,nudE,,CG8104,,0.312,Eukaryota
FBgn0036062,CG6685,,CG6685,,0.406,Diptera
FBgn0036063,CG6674,,CG6674,,0.505,Diptera
FBgn0036066,CG14160,,CG14160,,0.852,Diptera
FBgn0036070,CG8072,,CG8072,,0.887,Bilateria
FBgn0036072,CG6628,,CG6628,,0.915,Bilateria
FBgn0036075,CG8065,,CG8065,,0.881,Pan-drosophilid
FBgn0036078,Or67c,,CG14156,,0.968,Diptera
FBgn0036080,Or67d,,CG14157,,0.919,Diptera
FBgn0036082,CG12362,,CG12362,,0.879,mel-subgroup
FBgn0036083,Ir67b,,CG12303,,0.976,Pan-drosophilid
FBgn0036085,CG6527,FBgn0063737,CG6527,,0.771,Pan-drosophilid
FBgn0036089,CG14151,,CG14151,,0.911,Pan-drosophilid
FBgn0036090,CG8009,FBgn0064924,CG8009,,0.495,Bilateria
FBgn0036091,CG18628,FBgn0063262,CG18628,,0.859,Pan-drosophilid
FBgn0036093,CG14154,,CG14154,,0.836,Pan-drosophilid
FBgn0036094,CG14153,,CG14153,,0.698,Pan-drosophilid
FBgn0036096,CG8003,,CG8003,,0.374,Bilateria
FBgn0036099,CG11811,,CG11811,,0.242,Cellular_Organisms
FBgn0036101,NijA,FBgn0062835,CG6449,,0.643,Bilateria
FBgn0036102,CG12523,FBgn0062974,CG12523,,0.941,Pan-drosophilid
FBgn0036104,CG6418,,CG6418,,0.314,Eukaryota
FBgn0036105,Blos4,,CG14149,,0.365,Eukaryota
FBgn0036106,CG6409,,CG6409,,0.665,Pan-drosophilid
FBgn0036107,galla-2,,CG7949,,0.302,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0036108,Cpr67Fa1,FBgn0047085,CG7941,,0.911,Pan-drosophilid
FBgn0036109,Cpr67Fa2,FBgn0063135,CG18349,,0.907,Pan-drosophilid
FBgn0036110,Cpr67Fb,,CG18348,,0.724,Diptera
FBgn0036111,Aps,FBgn0062133,CG6391,,0.194,Eukaryota
FBgn0036112,CG14147,FBgn0047162,CG14147,,0.927,Pan-drosophilid
FBgn0036116,CG7888,,CG7888,,0.554,Eukaryota
FBgn0036117,CG6321,,CG6321,,0.553,Cellular_Organisms
FBgn0036118,Blos2,,CG14145,,0.305,Eukaryota
FBgn0036121,CG6310,FBgn0063764,CG6310,,0.451,Diptera
FBgn0036124,CG7839,FBgn0025205,CG7839,,0.378,Eukaryota
FBgn0036125,CG6279,,CG6279,,0.85,Cellular_Organisms
FBgn0036126,CG6272,FBgn0063258,CG6272,,0.279,Bilateria
FBgn0036128,Elo68beta,,CG11801,,0.763,mel-subgroup
FBgn0036131,CG12522,,CG12522,,0.962,Pan-drosophilid
FBgn0036133,CG7638,,CG7638,,0.219,Eukaryota
FBgn0036134,FoxK,,CG11799,,0.265,Eukaryota
FBgn0036135,mRpL2,,CG7636,,0.396,Cellular_Organisms
FBgn0036136,Ufd1-like,FBgn0062035,CG6233,,0.427,Eukaryota
FBgn0036138,CG14143,,CG14143,,0.939,mel-group
FBgn0036139,CG6216,,CG6216,,0.819,Diptera
FBgn0036141,wls,,CG6210,,0.32,Bilateria
FBgn0036142,CG7616,,CG7616,,0.669,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0036143,CG14142,,CG14142,,0.81,Bilateria
FBgn0036144,GlcAT-P,,CG6207,,0.505,Bilateria
FBgn0036145,CG7607,FBgn0062424,CG7607,,0.534,Pan-drosophilid
FBgn0036146,CG14141,FBgn0062434,CG14141,,0.572,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0036147,Plod,"FBgn0026285,FBgn0062024",CG6199,,0.432,Bilateria
FBgn0036150,Ir68a,,CG6185,,0.855,Diptera
FBgn0036152,CG6175,FBgn0063796,CG6175,,0.458,Diptera
FBgn0036153,CG7573,,CG7573,,0.874,Pan-drosophilid
FBgn0036154,CG6168,,CG6168,,0.943,Pan-drosophilid
FBgn0036155,CG6163,,CG6163,,0.581,Pan-drosophilid
FBgn0036156,CG11726,,CG11726,,0.898,Pan-drosophilid
FBgn0036157,CG7560,FBgn0043820,CG7560,,0.804,Cellular_Organisms
FBgn0036158,CG6149,,CG6149,,0.946,Pan-drosophilid
FBgn0036159,CG7557,FBgn0044586,CG7557,,0.881,Pan-drosophilid
FBgn0036160,CG12289,FBgn0062516,CG12289,,0.915,mel-group
FBgn0036161,CG7551,FBgn0063754,CG7551,,0.907,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0036162,CG6140,,CG6140,,0.899,mel-subgroup
FBgn0036165,chrb,"FBgn0025947,FBgn0046799",CG7533,,0.301,Bilateria
